tract,longitude,latitude
10100,1164433.477,1951040.439
10200,1162411.871,1949100.847
10300,1165377.226,1949100.721
10400,1167400.424,1945082.532
10500,1166252.714,1944977.691
10600,1165110.329,1945643.753
10700,1162833.468,1946598.675
10800,1163221.812,1943983.361
10900,1164645.477,1943595.854
20100,1159777.936,1948995.179
20200,1156394.513,1948939.059
20300,1156152.631,1945988.09
20400,1160139.576,1946353.882
20500,1160600.014,1943768.961
20600,1156865.123,1943614.341
20700,1155112.877,1940195.264
20800,1157851.52,1939760.592
20900,1161153.374,1941229.665
30100,1167888.048,1941236.662
30200,1165772.208,1941336.655
30300,1163811.75,1941305.634
30400,1163941.88,1938615.011
30500,1165872.171,1938740.157
30600,1168222.562,1938509.63
30700,1168625.714,1936123.841
30800,1166111.964,1936066.19
30900,1164141.951,1936007.021
31000,1164261.477,1933315.696
31100,1166230.425,1933405.56
31200,1167993.25,1933464.31
31300,1169954.587,1933536.447
31400,1171783.055,1929696.106
31500,1169359.307,1930810.532
31600,1168067.53,1930780.28
31700,1166424.478,1930786.308
31800,1164427.885,1931322.321
31900,1164554.034,1929981.399
32000,1167249.904,1928194.46
32100,1169228.722,1928115.771
40100,1161257.897,1937257.082
40200,1158035.231,1934462.003
40300,1155894.886,1934849.682
40400,1161404.785,1933230.895
40500,1162805.672,1931284.163
40600,1160802.463,1931198.603
40700,1158071.004,1931166.717
40800,1158578.792,1929841.651
40900,1160861.761,1929873.391
41000,1162840.892,1929936.523
50100,1162900.926,1927948.025
50200,1160903.867,1927887.369
50300,1158777.409,1927851.521
50400,1158700.649,1923972.541
50500,1160985.932,1925233.612
50600,1162985.797,1925262.336
50700,1163043.695,1923255.209
50800,1161689.94,1923248.495
50900,1160387.757,1923207.003
51000,1160427.478,1921877.398
51100,1161747.054,1921913.255
51200,1163072.989,1921923.465
51300,1163137.948,1919940.673
51400,1161716.473,1919857.18
51500,1160167.312,1920480.41
60100,1165556.86,1927863.934
60200,1164213.369,1927966.623
60300,1164290.848,1925317.666
60400,1165578.52,1925360.349
60500,1167239.694,1926075.253
60600,1168548.218,1926180.766
60700,1169509.002,1926208.982
60800,1171179.43,1926422.647
60900,1171724.668,1925094.323
61000,1169546.433,1924893.982
61100,1168257.035,1924814.929
61200,1166928.148,1924728.866
61300,1164341.184,1923303.213
61400,1165656.133,1923376.007
61500,1166968.813,1923405.403
61600,1168299.634,1923780.708
61700,1169582.818,1923823.836
61800,1170869.167,1923906.325
61900,1172826.645,1922916.155
62000,1170896.85,1922469.334
62100,1169623.24,1922481.464
62200,1168294.384,1922430.697
62300,1167007.123,1922048.525
62400,1165699.064,1922027.125
62500,1164399.52,1921982.525
62600,1164468.028,1919982.889
62700,1165755.123,1920025.572
62800,1167069.128,1920049.369
62900,1168384.735,1920091.896
63000,1169703.838,1920144.99
63100,1170988.919,1920860
63200,1173272.401,1921040.567
63300,1173458.145,1919591.387
63400,1171017.019,1919549.791
70100,1173585.756,1917619.891
70200,1171157.686,1917521.208
70300,1169797.103,1917492.51
70400,1168460.259,1917447.374
70500,1167175.593,1917428.259
70600,1165906.193,1917359.044
70700,1163717.167,1917502.788
70800,1165511.171,1915044.593
70900,1167236.632,1914583.637
71000,1168555.39,1914810.517
71100,1169878.37,1914843.171
71200,1171188.905,1914869.01
71300,1172486.811,1914873.406
71400,1174549.099,1915029.727
71500,1175366.805,1912297.243
71600,1172577.304,1912938.424
71700,1172636.614,1911601.541
71800,1171300.408,1912184.69
71900,1169971.166,1912186.346
72000,1168330.934,1912319.584
80100,1176565.746,1909717.066
80200,1175414.256,1909711.619
80300,1174096.15,1909646.581
80400,1172704.786,1909592.681
80500,1171371.519,1909567.615
80600,1169416.063,1909524.648
80700,1170612.333,1907297.714
80800,1172971.221,1907533.728
80900,1174082.213,1907441.35
81000,1175118.302,1907035.059
81100,1175932.538,1907032.782
81200,1177002.331,1907184.482
81300,1178249.855,1906342.394
81400,1179937.408,1904357.01
81500,1176757.389,1904221.093
81600,1176013.068,1904081.598
81700,1175200.072,1904025.446
81800,1173588.245,1904460.155
81900,1172578.882,1906191.368
90100,1125463.895,1948554.488
90200,1125577.351,1945050.597
90300,1124632.453,1942731.836
100100,1133890.225,1939249.374
100200,1130767.715,1941385.789
100300,1128033.9,1938905.765
100400,1124333.593,1938976.308
100500,1123837.798,1934995.028
100600,1129981.821,1935449.024
100700,1129931.712,1932864.972
110100,1137533.479,1938475.485
110200,1136523.057,1935808.749
110300,1133843.801,1934060.377
110400,1136600.78,1933174.397
110500,1139837.023,1933588.302
120100,1135975.158,1943759.668
120200,1140808.699,1941026.419
120300,1145584.774,1939886.215
120400,1142309.771,1934805.578
130100,1150750.042,1939932.86
130200,1146675.598,1936136.51
130300,1152746.202,1938329.055
130400,1154498.934,1935248.313
130500,1151573.235,1935299.229
140100,1154907.248,1932694.672
140200,1152880.653,1932555.309
140300,1150062.048,1932831.756
140400,1145922.33,1932727.925
140500,1147857.864,1930502.248
140600,1150230.954,1930268.192
140700,1152860.47,1930373.428
140800,1155714.637,1930295.281
150100,1144063.668,1927301.291
150200,1142277.897,1928756.041
150300,1139592.77,1928660.227
150400,1136889.985,1928799.161
150500,1134241.891,1928710.121
150600,1137035.579,1924642.162
150700,1139706.244,1924684.978
150800,1142387.641,1924756.442
150900,1144371.733,1924794.228
151000,1143085.528,1922105.442
151100,1139792.196,1922039.606
151200,1137123.695,1921973.109
160100,1144870.314,1930173.841
160200,1146084.239,1928078.484
160300,1148133.666,1927547.701
160400,1150312.58,1927641.265
160500,1152953.423,1927714.071
160600,1156131.287,1927775.608
160700,1155974.988,1925160.398
160800,1153050.607,1925056.518
160900,1150404.577,1924973.323
161000,1148218.411,1924895.02
161100,1146188.283,1924826.814
161200,1146091.723,1922135.922
161300,1148144.833,1922235.424
170100,1130773.35,1926952.69
170200,1134381.664,1924564.236
170300,1130219.303,1924474.618
170400,1125875.4,1924362.57
170500,1121475.512,1924785.089
170600,1120988.92,1921574.915
170700,1123304.704,1921639.112
170800,1125977.128,1921693.286
170900,1126214.959,1919742.022
171000,1130309.885,1921798.024
171100,1134467.358,1921904.261
180100,1129746.058,1919120.937
180200,1129828.303,1916510.641
180300,1130578.81,1914492.248
190100,1144521.65,1919471.931
190200,1142548.326,1919406.317
190300,1139886.983,1919358.43
190400,1135895.576,1919273.334
190500,1132622.163,1917800.825
190600,1135980.789,1916630.689
190700,1139975.728,1916710.936
190800,1142650.782,1916781.644
190900,1144622.039,1916836.358
191000,1144725.027,1913663.278
191100,1142766.65,1913801.669
191200,1140103.477,1913967.685
191300,1136093.734,1913965.247
191400,1132764.909,1913930.659
200100,1146376.082,1919429.071
200200,1146922.131,1916827.06
200300,1147338.563,1915245.787
200400,1147443.83,1913899.994
200500,1147461.642,1912285.545
200600,1149897.1,1912251.743
210100,1156193.393,1922403.004
210200,1153073.567,1922415.527
210300,1150431.316,1922272.989
210400,1148354.162,1919721.64
