block,lat,long
8404002022,41.831614,-87.668287
8404002023,41.830693,-87.668572
8404002020,41.831601,-87.669507
8404002021,41.831608,-87.668898
8404002026,41.831116,-87.671944
8404002027,41.831573,-87.671954
8404002024,41.830680,-87.669793
8404002025,41.830901,-87.670718
8404002028,41.831543,-87.673761
8404002029,41.832083,-87.674404
6103002022,41.814902,-87.673141
5103002004,41.723278,-87.580038
6103002020,41.811294,-87.670206
6103002021,41.811278,-87.672027
5103002001,41.723366,-87.572330
5103002000,41.723386,-87.571114
5103002003,41.722948,-87.574210
5103002002,41.723348,-87.573629
5103002009,41.722881,-87.571665
5103002008,41.722518,-87.574166
3807001003,41.815613,-87.624228
1105015004,41.980081,-87.762947
3807001002,41.815627,-87.623415
3807001001,41.815640,-87.622600
8309001043,41.925286,-87.683111
8309001042,41.925151,-87.683052
8309001041,41.925097,-87.683167
8309001040,41.925107,-87.686431
8309001046,41.925033,-87.683454
8309001045,41.925081,-87.682754
8309001044,41.925307,-87.682470
7303001031,41.724141,-87.664090
2426004014,41.895916,-87.694859
7303001030,41.723693,-87.663972
7303001033,41.726393,-87.664985
3807001004,41.815605,-87.625036
4503004022,41.737170,-87.583666
4503004020,41.737371,-87.585428
4503004021,41.737197,-87.581665
2001003031,41.931803,-87.741154
2001003030,41.934350,-87.740660
2001003032,41.931835,-87.738643
5103002005,41.722838,-87.586119
5103002007,41.722837,-87.579325
0205002007,41.998651,-87.687773
5103002006,41.722637,-87.582835
7104005018,41.752991,-87.671088
7104005019,41.752984,-87.671695
7104005016,41.754798,-87.672354
7104005017,41.754809,-87.671442
7104005014,41.752969,-87.672910
7104005015,41.752976,-87.672303
7104005012,41.752955,-87.674125
7104005013,41.752959,-87.673517
7104005010,41.756844,-87.677369
7104005011,41.756377,-87.677489
5302001029,41.681193,-87.623074
5302001028,41.681932,-87.624331
2309002012,41.904208,-87.707152
5302001021,41.680729,-87.625491
5302001020,41.680038,-87.625764
5302001023,41.680713,-87.626669
5302001022,41.680722,-87.626080
5302001025,41.680024,-87.626939
5302001024,41.680707,-87.627255
5302001027,41.683508,-87.623774
5302001026,41.681186,-87.623691
5611006019,41.785933,-87.781267
3403001000,41.846157,-87.635604
6605001014,41.775605,-87.704113
0205002004,41.998869,-87.689612
8404001045,41.833926,-87.667162
0305003008,41.984310,-87.662394
8404001047,41.833651,-87.670164
8404001046,41.833897,-87.668949
8404001041,41.834466,-87.665926
8404001040,41.834451,-87.666829
8404001043,41.833267,-87.665300
8404001042,41.834486,-87.665137
0305003001,41.987952,-87.662382
0305003000,41.987572,-87.661767
0305003003,41.987514,-87.663557
0305003002,41.987733,-87.662635
8404001049,41.833466,-87.667153
0305003004,41.987927,-87.664149
0305003007,41.985614,-87.663462
0305003006,41.986693,-87.664127
1402003020,41.971017,-87.713737
1904011019,41.936829,-87.777679
1904011018,41.936800,-87.779806
1904011015,41.936952,-87.785580
1904011014,41.937198,-87.784371
1904011017,41.936766,-87.782233
1904011016,41.936739,-87.784353
1904011011,41.937285,-87.777695
1904011010,41.937075,-87.776473
1904011013,41.937226,-87.782247
1904011012,41.937257,-87.779819
8411003007,41.850765,-87.639595
4304002012,41.762617,-87.587756
1907021006,41.926540,-87.762081
1907021007,41.926547,-87.761467
1907021004,41.927423,-87.764267
1907021005,41.927406,-87.765497
5607002051,41.796234,-87.752912
5607002050,41.796183,-87.753535
1907021000,41.927904,-87.762435
5607002052,41.795884,-87.757187
1907021008,41.926525,-87.763309
1907021009,41.926515,-87.763924
7302021014,41.731241,-87.648054
7302021015,41.727766,-87.650373
7302021016,41.727773,-87.649768
0106003008,41.999043,-87.665853
0106003009,41.999041,-87.666471
