tract,lat,long
8423,41.902201,-87.656066
1706,41.941294,-87.830702
3805,41.820099,-87.627794
2001,41.935048,-87.737604
4102,41.801668,-87.594268
4307,41.765143,-87.559232
4308,41.760750,-87.571298
3817,41.805550,-87.627446
4303,41.769691,-87.589354
4309,41.760641,-87.581185
4312,41.755301,-87.571184
511,41.941365,-87.680827
3501,41.841749,-87.608420
318,41.967011,-87.670621
8437,41.944827,-87.690788
4903,41.725382,-87.619148
7205,41.702835,-87.689101
5205,41.693117,-87.530870
8104,41.987575,-87.829438
7106,41.747660,-87.660943
7103,41.754049,-87.661106
7101,41.753392,-87.641971
4904,41.723654,-87.610824
8369,41.881883,-87.706136
1505.02,41.956778,-87.781841
5906,41.826833,-87.672925
5905,41.826663,-87.679907
3801,41.820197,-87.610100
2315,41.891732,-87.718656
804,41.907412,-87.640902
810,41.900266,-87.632109
1912,41.920143,-87.760827
801,41.907554,-87.626790
1909,41.927923,-87.744105
1911,41.919629,-87.750976
1903,41.934986,-87.761463
1908,41.927819,-87.751362
2409,41.904742,-87.701884
203.01,42.006865,-87.705186
5610,41.788502,-87.791503
604,41.950673,-87.666536
2003,41.923481,-87.734126
615,41.945282,-87.661545
5807,41.817488,-87.686847
620,41.942577,-87.647079
2107,41.935703,-87.703840
622,41.942585,-87.656644
8319,41.945169,-87.668791
8309,41.928630,-87.685373
2435,41.892654,-87.652517
813,41.898335,-87.620753
3017.02,41.838806,-87.719524
1507,41.949592,-87.761958
6401,41.782094,-87.739995
4909.01,41.696058,-87.616268
6503.02,41.775095,-87.717749
7003.01,41.745622,-87.731712
4909.02,41.703280,-87.615326
1401,41.971084,-87.705794
6204,41.789638,-87.718168
6203,41.789503,-87.730444
628,41.936159,-87.661265
629,41.936237,-87.656411
6305,41.797427,-87.689017
4301.01,41.769826,-87.573953
6303,41.798862,-87.708638
6301,41.799271,-87.681669
2515,41.891112,-87.760346
701.01,41.930464,-87.632558
2513,41.898425,-87.770385
7302.02,41.726412,-87.648542
6112,41.804994,-87.662441
624,41.941556,-87.666288
2607,41.877056,-87.727996
1603,41.957268,-87.730896
1403.02,41.972549,-87.723789
1105.01,41.977002,-87.761925
8434,41.849327,-87.732021
8432,41.847440,-87.663395
8426,41.816219,-87.651695
8435,41.838215,-87.696754
8418,41.766307,-87.599421
8425,41.776950,-87.623216
203.02,42.008541,-87.694963
206.02,42.001316,-87.693637
107.01,42.009148,-87.678620
209.02,41.994250,-87.678697
301.02,41.993397,-87.655132
301.03,41.995380,-87.654695
1105.02,41.970287,-87.759850
105.02,42.004517,-87.663327
307.03,41.978875,-87.657871
2432,41.892433,-87.669624
2431,41.892355,-87.674507
2421,41.899670,-87.669837
2413,41.906772,-87.681025
2412,41.906707,-87.684686
814.03,41.891908,-87.609968
6904,41.769259,-87.620208
6903,41.768669,-87.629014
6814,41.761531,-87.649193
6813,41.761173,-87.639862
1704,41.948908,-87.812711
2304,41.911832,-87.721540
502,41.957741,-87.683717
3108,41.855934,-87.668574
6604,41.782532,-87.708044
201,42.015720,-87.687115
1512,41.942169,-87.771495
4208,41.776910,-87.603257
4212,41.770657,-87.608966
6704,41.790300,-87.671770
3404,41.841885,-87.632035
6611,41.760787,-87.702688
2225,41.915708,-87.699596
3510,41.834784,-87.605974
3602,41.826876,-87.609905
4204,41.783170,-87.603558
