beat,longitude,latitude
2512,1131846.29093307,1915234.03282076
1414,1155983.00775393,1915151.93230813
1431,1158652.27712398,1915184.44566136
1413,1153325.77687412,1915075.46286866
2515,1138687.82059111,1914415.0137132
1814,1174929.83540953,1913399.48276195
1812,1171217.52929537,1914844.46569754
1811,1167401.9355088,1914164.54438695
2522,1144695.99243919,1914214.04487384
1813,1171330.37563076,1912217.84041364
2525,1150019.49261576,1914337.71948205
1433,1166114.32757321,1910721.53208862
1434,1161412.94503854,1911937.23212572
1421,1156527.03824264,1911822.79097896
1422,1153331.63002869,1910304.5111716
2535,1150775.82539996,1910380.23564815
2534,1148113.23698416,1910309.22373763
2533,1144110.8673755,1910212.85254786
2513,1131964.44533264,1911251.89388049
2422,1164568.29953187,1950370.30917354
2411,1157469.93097976,1947571.98652467
2424,1162119.36831506,1947864.06812909
1611,1129280.60268663,1943655.79773388
2423,1165139.48101174,1947827.52636913
2431,1165835.80253078,1945954.27123826
1621,1138746.99264684,1941378.55306473
1654,1099450.66621916,1935266.03053027
1612,1126779.40170097,1939493.04697733
2412,1158052.39597032,1943691.55527469
2433,1165989.72787216,1941257.88994426
2413,1158384.99747736,1941090.74370972
1711,1148615.22053026,1939510.38506746
2432,1165251.12767393,1943943.29855033
2013,1166081.58749242,1937391.97627952
2012,1162103.03584691,1937169.64284012
2011,1156929.31153954,1937185.15867706
2022,1168358.137004,1938422.02317471
1622,1135312.33156405,1934040.81654436
1614,1117030.6966761,1932332.82132084
1623,1140438.86768932,1932287.32075737
2023,1168715.00119382,1936012.57409632
1712,1148680.67458823,1934387.87928874
1613,1128079.72671677,1934470.93013835
3100,1121481.34201297,1935703.56062103
1651,1099791.00623612,1935322.62340574
2024,1169607.86168424,1933440.42891094
1655,1104787.69064537,1933640.9596128
1653,1102126.57423757,1933757.41976535
1652,1100278.6519283,1933695.06055014
2033,1166577.18181423,1933345.07493119
2032,1162984.92360003,1933222.00133735
2031,1158165.52666516,1933152.54993799
1713,1154462.20008767,1932149.24785056
3100,1124731.35657097,1929851.23811272
1914,1170452.78038946,1930818.04245212
1915,1169964.47469607,1928407.69108713
1913,1166823.08024102,1930599.83659999
1912,1164072.65198395,1929121.90149104
1911,1159878.18271682,1929313.81297139
1723,1150931.9249392,1928986.07532739
1722,1146262.48820341,1928880.17984168
1724,1155428.5061838,1928370.58638269
1624,1138276.10539995,1927366.57077029
1632,1130373.39148061,1924187.03298157
1925,1171784.64633841,1924131.58901106
1923,1168263.82670601,1925396.42767639
1922,1164353.03221825,1923957.58405051
1921,1160053.76408937,1923896.579118
1733,1155424.59295525,1923732.02632644
1732,1150835.51902692,1923811.71866305
1731,1146210.2651946,1923438.47411594
1634,1141728.0285949,1923455.59074256
1633,1136394.3457795,1923328.15516692
1631,1121061.00833473,1923012.606461
1924,1168346.80816576,1922740.36591312
1934,1172732.49717985,1920163.64228473
1933,1168347.40410183,1920227.14898199
1931,1162880.41857214,1919163.34753989
1932,1166966.17190763,1917829.0501842
1411,1157106.43610374,1919086.98521549
1412,1153210.6172664,1919079.83127031
2523,1148864.20325515,1919639.68626849
2521,1143567.20619466,1918179.95456421
2514,1138548.22161075,1918721.9932327
2511,1130979.69769729,1919292.8289992
1432,1162055.45601869,1915514.65035387
1935,1172225.91003116,1917629.2571256
2524,1148944.67382962,1916979.03542292
0523,1175455.78141095,1821875.92949743
0533,1184421.08322216,1816587.06760327
0224,1177689.35787873,1872560.81477681
0935,1173790.36595003,1871028.08002476
0933,1169148.719124,1872295.39741593
0931,1163924.87483369,1872173.80769926
0923,1158660.98031638,1870029.26081601
0234,1187548.44349102,1870096.21261227
0233,1181998.56450159,1868875.9859246
0231,1178959.1721344,1869275.62061043
0225,1176943.56293746,1869211.43380993
0934,1169222.89376811,1869574.84163764
0932,1163995.20948801,1869446.44407703
0822,1153319.04805172,1867579.20339137
0811,1134595.7449492,1867230.20029749
0235,1185405.1716963,1866989.7003898
0711,1173936.44579019,1865736.08383947
0712,1170655.90301374,1865631.05523176
0713,1168007.11542428,1865560.33873755
0824,1159204.20240463,1866454.66646966
0715,1164637.14744089,1866802.04509136
0813,1145399.23040145,1864389.8540508
0232,1177911.98334529,1866250.4439432
0714,1164701.73771433,1864211.09885692
0331,1190274.5171349,1862967.3850193
0812,1134892.924848,1862589.7313516
0314,1185940.50800995,1863577.52654266
0825,1160826.27560631,1863250.20238252
0313,1181798.45536025,1864296.39547977
0311,1177943.43838974,1864252.08567723
0823,1154780.90430056,1862968.50554958
0312,1179615.04257103,1862327.94303492
0722,1175170.63234109,1861025.36018398
0723,1172119.02182543,1861103.70801424
0725,1166806.13711846,1860951.1155433
0726,1164128.85451104,1860876.87503745
0321,1184159.05700997,1860337.56481767
0832,1161520.6165276,1858846.99277945
0831,1156921.53837281,1858706.29917634
0833,1149781.66149507,1856963.97535613
0322,1179305.92371287,1859360.51840098
0724,1169455.73875096,1861023.13772418
0334,1194246.79981089,1857645.5747783
0332,1188735.06309844,1859554.88470435
0731,1176118.04438093,1857236.01248922
0732,1173545.1787723,1857167.95469502
0733,1170889.06139535,1857109.22470329
0734,1168246.22667461,1857028.59105166
0735,1164885.5120959,1856945.94778142
0333,1191390.21078449,1856959.77505613
0324,1187018.40045809,1856967.06208641
0323,1180819.46000138,1856631.66161012
