tract,Female.Head.of.Household..pct.,With.public.assistance,Median.Income
10201,29.8,62,40681
10202,19.3,52,35724
10300,25.4,44,45224
10400,24,42,44018
10501,26.8,140,33427
10502,22.9,23,30330
10503,22.5,102,18250
10600,22.9,111,47610
10701,18.1,42,55682
10702,20,41,43304
20100,23.2,74,45888
20200,7.9,96,71307
20301,6.1,40,51694
20302,15.7,13,65682
20400,13.7,0,44755
20500,18.2,98,31576
20601,9.7,74,37260
20602,11.8,22,48636
20701,13,57,72796
20702,14.7,55,41050
20801,19.7,57,56586
20802,14.1,60,50513
20901,24.8,65,42725
20902,17.9,64,46739
30101,27.8,64,37434
30102,19.8,40,30794
30103,11.9,0,23929
30104,19.8,23,24892
30200,14,17,61175
30300,19,31,34960
30400,20.6,19,50000
30500,17.4,61,61341
30601,25.8,154,31721
30603,24.7,35,27927
30604,18.7,57,40131
30701,30.6,18,40587
30702,18,0,64837
30703,25.9,226,28333
30706,30.7,63,42804
30800,11.6,44,76354
30900,15.6,37,61148
31000,13.7,10,53361
31100,16,24,56369
31200,28,238,17727
31300,23.1,70,32189
31400,18.3,31,57460
31501,34.9,151,19317
31502,38.1,244,26611
31700,31.6,262,45183
31800,13.1,32,54333
31900,26.5,29,61189
32100,26.9,236,40795
40100,13.9,10,65625
40201,17,47,54155
40202,18.8,0,48168
40300,8.2,51,62853
40401,13.2,37,64076
40402,14.4,49,61860
40600,9.9,15,64402
40700,11.3,8,56172
40800,12.3,0,68929
40900,9.4,0,58750
50100,12.6,18,70772
50200,7.5,48,62821
50300,16.6,53,88565
50500,12.6,20,85189
50600,11.4,0,80060
50700,6.4,0,84042
50800,6.2,5,101607
50900,14.5,0,82000
51000,7.9,0,86333
51100,8.9,0,77770
51200,9.2,0,87813
51300,6.2,35,130885
51400,12.8,31,74811
60100,12,35,88893
60200,11.4,14,57978
60300,8.8,0,107052
60400,7.3,31,100970
60500,4.2,37,58393
60800,14.4,45,65058
60900,16.8,91,52654
61000,15.1,7,90602
61100,10.6,0,79063
61200,9,9,96842
61500,11.8,0,87679
61800,2.9,0,46601
61901,31.1,53,51982
61902,12.7,39,53135
62000,10.7,0,74333
62100,14.4,14,69325
62200,3.8,0,106337
62300,11.6,7,98750
62400,5.6,0,103438
62500,8.2,0,100528
62600,6.9,0,88716
62700,8.2,0,96250
62800,4.1,30,106974
62900,8.4,11,105547
63000,7.9,13,66875
63100,9.4,44,50208
63200,12.4,16,60241
63301,18,39,51719
63302,9.1,19,64738
63303,11.8,41,71563
63400,11.2,10,68409
70101,10.7,23,56691
70102,6.5,12,54190
70103,13.8,0,55579
70200,9.5,0,70672
70300,6.2,0,93839
70400,5.7,76,83468
70500,6.3,0,99115
70600,8.6,13,127460
70700,13.2,39,77288
71000,8.1,0,118962
71100,9.2,0,103315
71200,10.5,38,82461
71300,8.7,19,87006
71400,14.7,11,70192
71500,14.3,11,75122
71600,8.7,0,151250
71700,13.4,0,131094
71800,16,0,120625
80100,11.9,17,78973
80201,14.3,0,76822
80202,11.5,0,83382
80300,13.4,20,89188
80400,63.2,160,18023
81000,22.3,157,45439
81100,14.1,56,55704
81201,13.1,0,81450
81202,14.3,0,75100
81300,15,29,94500
81401,22.2,16,79276
81402,19.9,7,96929
81403,8.6,12,82524
81500,11.6,7,82591
81600,7.1,0,80897
81700,25.4,39,86711
81800,6.7,13,108482
81900,42.8,55,75250
90100,10.1,0,80556
90200,8.2,16,78019
90300,6.8,6,84604
100100,13.6,23,54632
100200,10,59,70438
100300,7.6,13,65531
100400,7.6,0,82060
100500,10.6,0,73288
100600,10.2,18,55948
100700,6.5,25,67188
110100,12.5,86,59519
110200,19.4,0,55798
110300,8.5,46,69336
110400,15.7,0,53750
110501,12,20,76051
110502,19.7,31,51571
120100,7.6,9,100828
120200,7,7,89005
120300,7.9,59,99543
120400,9.9,14,65417
130100,6.4,59,46612
130200,14.8,0,58550
130300,14.7,8,55727
140100,15.1,9,35013
140200,15.5,42,41821
140301,16,15,55707
140302,13.9,0,56530
140400,11.3,12,45208
140500,14.8,28,47113
140601,13.7,21,45817
140602,18.2,35,39009
140701,13.5,0,42366
140702,19.5,62,38850
140800,12.6,66,62375
150200,16.8,66,46425
150300,21.4,107,51215
150401,14.9,0,54375
150402,11.8,29,46563
150501,14,0,69573
150502,15.9,11,48704
150600,18.1,8,59656
150700,17.3,52,58194
150800,18.4,36,57031
151001,16.1,0,40222
151002,19.6,30,47625
151100,20.1,91,38313
151200,12.2,9,58811
160100,19.2,25,53107
160200,14.9,14,62026
160300,20.8,38,39915
160400,20,62,50884
160501,17.4,12,40096
160502,20.9,14,52375
160601,21.6,12,50511
160602,21.1,0,61579
160700,19,81,67583
160800,19.9,43,45087
160900,16,19,61563
161000,17.8,13,56286
161100,8.9,33,101563
161200,16.2,66,65838
161300,24.5,73,47143
170100,11.2,0,44476
170200,11.8,17,58176
170300,10.2,38,60852
170400,13.4,11,73621
170500,12.7,15,72326
170600,12.3,12,70758
170700,13.3,11,73021
170800,11,11,61504
170900,15.1,0,57586
171000,13.6,48,51800
171100,13.4,40,58250
180100,15,57,58425
190100,18,46,34583
190200,14.9,79,41829
190300,15.5,46,45174
190401,15.7,21,51715
190402,15.4,0,40528
190601,15.8,51,56202
190602,17.6,79,45216
190701,19.3,0,47778
190702,19.7,50,42018
190800,19.4,0,42623
190900,17.4,24,45529
191000,16,17,37263
191100,18.4,100,36472
191200,21.8,40,32885
191301,17.1,40,42315
191302,16.9,10,38855
200100,19.3,0,47549
200200,25.2,22,47344
200300,19.9,12,35125
200401,18.5,16,48560
200402,22.3,14,37420
