tract,longitude,latitude
720500,1160171.70454335,1834962.2944345
730200,1169816.30242459,1843710.10211415
730300,1166814.18304061,1843978.09707551
740100,1157599.24855614,1832915.38233703
710500,1165053.80574048,1851288.62298081
711200,1165328.30868512,1848758.35148806
711300,1166045.58905159,1846185.79267211
720200,1166429.86748929,1838752.2573972
700400,1153831.98873331,1849313.66304566
710200,1170314.99147417,1854113.89003752
681400,1170896.69639786,1856464.78425532
690800,1184149.12329641,1856803.68421227
691100,1176172.11165603,1856539.95243038
691300,1178928.9048535,1854003.34303717
680500,1169955.4729125,1867007.70659469
681200,1173796.89353762,1859249.18873905
670100,1168631.42144394,1866971.7218672
670600,1164733.91121415,1864212.4768561
670800,1167378.58927242,1864283.64422403
671300,1164821.62577062,1860895.51669745
650500,1148291.32335184,1856526.84995396
660200,1160087.4616938,1864115.48766297
660700,1162177.84377003,1860854.7209442
640400,1132099.77860167,1863318.21459741
640600,1137517.67806185,1861478.9821611
640700,1142832.36207779,1861650.12374774
650400,1152335.16946945,1857679.20130248
630200,1158508.85281433,1871362.34936382
630300,1154584.42118125,1869891.08771097
630500,1159938.26453459,1869431.5805783
610500,1167112.68841877,1873901.87739449
610600,1170343.99873585,1875264.30961056
611100,1168487.92657349,1872278.28844056
611500,1162738.43035121,1872365.55290089
611900,1167897.78213396,1869607.6383455
600700,1167557.80527795,1885343.21857247
601200,1172519.95496059,1882355.10264246
601600,1173778.51533929,1880301.78685266
610100,1172986.22747075,1877716.55471058
610300,1163680.0975204,1876292.8299054
581100,1158552.59192377,1872692.35837299
590500,1162341.31437924,1880103.67817361
590600,1164243.56460604,1880180.01267541
570100,1151733.33881412,1876235.86234394
570200,1148519.66886086,1875548.59352728
580200,1157034.38410583,1880167.3492022
560500,1145937.69749326,1869086.89947258
560700,1141261.5112351,1868947.5218343
560800,1137268.48948424,1868827.39258693
530400,1170517.68728582,1824549.05143875
520300,1201015.01321767,1834675.657887
520400,1203424.91259042,1835388.10196528
530300,1170434.21634213,1827199.52801847
510100,1198134.24865665,1839046.35636132
490300,1179208.93536855,1843330.74969353
490800,1180306.68964269,1837993.74091633
491200,1174322.20127303,1829949.52459317
460400,1194283.68275671,1850422.73552778
460800,1199979.33992487,1845920.80956913
480200,1187221.43907529,1846946.6859947
480300,1187761.87275081,1844781.57471417
440600,1179187.69255594,1845987.25469229
460200,1198846.74041183,1849332.8206845
431100,1189521.82314126,1854282.28150589
440300,1179044.45233096,1850010.8757504
420800,1183386.24560837,1862142.19829748
421100,1189503.91661868,1862132.37983478
430400,1186978.38550888,1856789.26685866
430600,1192132.02419852,1857644.28121098
411000,1188829.21883141,1867143.60854225
411400,1183221.1796884,1867073.01832792
420300,1184610.33062479,1864453.55930374
390400,1183077.95085627,1872713.02236287
390700,1187598.18573942,1872746.97794271
400300,1180627.63533949,1868018.30264984
410400,1183105.17810376,1871086.82509905
410500,1183188.29616044,1869762.89738295
370400,1175451.33773986,1869821.74300173
380300,1178941.86272077,1877881.32987116
380700,1177680.67118127,1875539.97265392
381500,1177938.45206776,1874225.297771
381800,1178405.34655133,1871917.96689239
390100,1186708.01879427,1875635.22259332
350100,1181770.59450781,1885761.46210102
350400,1176343.01290918,1885777.08546905
350900,1179278.75974452,1883855.72593773
370300,1175359.52430448,1872482.35482234
360300,1184159.29156203,1880776.30141571
330200,1175682.13584385,1892824.2604822
330400,1177346.7999431,1888452.80076695
340200,1174382.40114238,1888466.03002634
311400,1164500.127885,1886678.23601988
320500,1175248.98020183,1897638.70070522
301800,1148247.03411715,1885603.04354215
310300,1170685.28573109,1890911.95685171
310600,1167800.86409745,1890958.06114264
310700,1166346.3655478,1890821.57159622
311000,1161686.19944758,1890585.60076394
292600,1147827.79832686,1888211.87269583
300300,1156311.06119845,1889807.98150405
300400,1154553.3044733,1889515.46678651
301300,1157986.69566475,1884154.72195837
301400,1156193.68134765,1885394.92566807
284300,1160170.67034506,1893499.06648026
290600,1151905.27784699,1894887.02680037
290900,1147924.09077129,1893026.56083087
291900,1154761.49822556,1890857.28796963
291200,1153261.11771078,1893154.59604715
291600,1158919.32553005,1891375.94234082
292100,1153512.70457372,1889961.12843648
282800,1160856.61396584,1895982.95608888
283200,1167860.90494098,1895787.33641669
283500,1172817.28665128,1895832.62964427
283600,1173020.5844436,1893482.23494186
280100,1172280.6497735,1901549.78749232
280600,1159686.56125987,1901485.56446583
280900,1160774.21572163,1899034.4784581
281100,1161409.5592492,1900311.26868113
281800,1169749.1447966,1899287.60356778
281900,1172341.80141052,1899347.3660986
260900,1150532.2482769,1896178.22320041
270300,1154339.51846168,1901483.00066167
270800,1157051.04108015,1900215.59792553
271300,1154426.70412675,1898499.27405225
251700,1144593.84567272,1903567.14875344
252200,1143817.12331596,1898217.71663988
252300,1143872.46814989,1895570.07394432
260700,1149104.98024977,1898370.84282918
250800,1142639.08166556,1908941.29313953
251100,1142511.51017874,1906185.19242553
251600,1142585.93012603,1903555.12228809
242100,1164880.00400529,1906728.20197576
242800,1159325.27386777,1904094.73072736
243100,1163629.38142211,1904052.77300099
243500,1169610.95760565,1904209.90965099
243600,1171728.75931812,1903980.71479767
240400,1162220.24254353,1911626.94555975
240500,1161087.72667346,1911182.3354545
241000,1158134.09363869,1909699.895263
241500,1164554.05371859,1909899.24943482
241600,1166085.3199024,1909281.43743775
222600,1155406.49296001,1912466.82417232
222800,1152517.57830783,1912380.83052097
230700,1150787.71261556,1909047.77023386
230900,1153831.28216512,1909201.32175655
231200,1150867.12842673,1906402.26165639
220800,1148849.78266265,1917267.04410853
221100,1153791.91982744,1914425.23148734
221800,1164105.96625002,1914323.53867143
222300,1159399.08247735,1912550.70325155
200400,1147446.38045531,1913910.90287312
210500,1150536.05707565,1919679.9708987
210700,1155522.85849595,1919790.07612922
220100,1161182.11586268,1917267.2432399
220200,1159253.80815193,1917196.3752291
190800,1142615.97838178,1916824.5658872
190900,1144590.04924981,1916875.09344665
191400,1132730.67603307,1913938.24601324
170500,1121479.29831167,1924798.72221536
170800,1125983.68788329,1921731.02967719
171100,1134439.65985828,1921957.75336272
160800,1153046.77074239,1925058.18966642
161100,1146157.83376046,1924887.00886216
161300,1148118.32722296,1922285.3123304
170300,1130195.30559279,1924507.84855918
150800,1142356.24833786,1924799.93119258
150900,1144343.26504587,1924852.38092951
160200,1146066.70984714,1928137.52923235
140200,1152935.6563231,1932544.39623489
140400,1145886.72825116,1932779.55997969
140700,1152888.73066592,1930360.218346
150200,1142250.07435058,1928795.66421995
130200,1146638.99676274,1936175.46081781
100600,1129971.43454093,1935467.90270621
100700,1129923.40505924,1932890.2791385
